id,codigo_curso,area_basica,area_avaliacao,situacao,inicio,nota,universidade,cep,cidade,doutorado,mestrado,info_doutorado,info_mestrado
1000,OTORRINOLARINGOLOGIA (33002010070P8),CIRURGIA OTORRINOLARINGOLOGIA,MEDICINA III,EM FUNCIONAMENTO,1978,4,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010070D9'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '4', 'codigo': '33002010070M8'}"
1001,MEDICINA (PEDIATRIA) (33002010072P0),PEDIATRIA,MEDICINA II,EM FUNCIONAMENTO,1972,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010072D1'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010072M0'}"
1002,PSIQUIATRIA (33002010073P7),PSIQUIATRIA,MEDICINA II,EM FUNCIONAMENTO,1974,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010073D8'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010073M7'}"
1005,CIÊNCIAS ODONTOLÓGICAS (33002010077P2),ODONTOPEDIATRIA,ODONTOLOGIA,EM FUNCIONAMENTO,1971,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010077D3'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010077M2'}"
1006,TECNOLOGIA BIOQUÍMICO-FARMACÊUTICA (33002010078P9),FARMÁCIA,FARMÁCIA,EM FUNCIONAMENTO,1973,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010078D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010078M9'}"
1007,Farmácia (Fisiopatologia e Toxicologia) (33002010079P5),FARMÁCIA,FARMÁCIA,EM FUNCIONAMENTO,1972,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010079D6'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010079M5'}"
1008,TOXICOLOGIA E ANÁLISES TOXICOLÓGICAS (33002010080P3),FARMÁCIA,FARMÁCIA,EM DESATIVACAO,,,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM DESATIVACAO', 'nota': '5', 'codigo': '33002010080D4'}","{'situacao': 'EM DESATIVACAO', 'nota': '5', 'codigo': '33002010080M3'}"
1009,FÁRMACOS E MEDICAMENTOS (33002010081P0),FARMÁCIA,FARMÁCIA,EM FUNCIONAMENTO,1978,5,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010081D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '5', 'codigo': '33002010081M0'}"
1011,ENFERMAGEM (33002010083P2),ENFERMAGEM,ENFERMAGEM,EM FUNCIONAMENTO,1973,6,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010083D3'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '6', 'codigo': '33002010083M2'}"
1012,EDUCAÇÃO FÍSICA E ESPORTE (33002010084P9),EDUCAÇÃO FÍSICA,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",EM FUNCIONAMENTO,1977,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010084D0'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010084M9'}"
1013,ADMINISTRAÇÃO (33002010085P5),ADMINISTRAÇÃO DE EMPRESAS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",EM FUNCIONAMENTO,1975,7,UNIVERSIDADE DE SÃO PAULO,05508900,São Paulo,True,True,"{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010085D6'}","{'situacao': 'EM FUNCIONAMENTO', 'nota': '7', 'codigo': '33002010085M5'}"
