rank,titulo,nota,ano,duracao,classificacao
1,Um Sonho de Liberdade,9.3,1994,2h 22m,16
2,O Poderoso Chefão,9.2,1972,2h 55m,14
3,Batman: O Cavaleiro das Trevas,9.0,2008,2h 32m,12
4,O Poderoso Chefão: Parte II,9.0,1974,3h 22m,14
5,12 Homens e uma Sentença,9.0,1957,1h 36m,
6,O Senhor dos Anéis: O Retorno do Rei,9.0,2003,3h 21m,14
7,A Lista de Schindler,9.0,1993,3h 15m,14
8,Pulp Fiction: Tempo de Violência,8.9,1994,2h 34m,18
9,O Senhor dos Anéis: A Sociedade do Anel,8.9,2001,2h 58m,12
10,Três Homens em Conflito,8.8,1966,2h 41m,14
11,Forrest Gump: O Contador de Histórias,8.8,1994,2h 22m,14
12,O Senhor dos Anéis: As Duas Torres,8.8,2002,2h 59m,12
13,Clube da Luta,8.8,1999,2h 19m,18
14,A Origem,8.8,2010,2h 28m,14
15,Star Wars: Episódio V - O Império Contra-Ataca,8.7,1980,2h 4m,
16,Matrix,8.7,1999,2h 16m,14
17,Os Bons Companheiros,8.7,1990,2h 25m,14
18,Um Estranho no Ninho,8.7,1975,2h 13m,16
19,Interestelar,8.7,2014,2h 49m,10
